CIUDAD,PROVINCIA,REGIÓN,CAMPO 1,VÍA POSTU.,CARRERA,SEXO,SEDE,N° LISTA,PROMEDIOPDT,PTJE.PONDE,IND.BECA,NOTA E.M,ESTADOMATRÍCULA,FECHA  PAGO DB,FECHA MATRÍCULA,AÑO,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,9,565,579.90,BGU,583,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,20,522,465.60,,510,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,16,514,528.20,BGU,565,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
SANTIAGO,SANTIAGO,METROPOLITANA,METROPOLITANA,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,3,686,678.70,BVP,630,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,7,497,633.80,BGU,638,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,17,539,516.80,,538,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,21,510,406.20,,458,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
RENGO,CACHAPOAL,O´HIGGINS,O´HIGGINS,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,5,517,667.50,BVG,650,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,15,535,530.90,BGU,530,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,11,578,553.20,BGU,540,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,6,668,655.40,,605,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
QUILLOTA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,14,650,532.10,BVP,513,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,12,496,547.80,BGU,563,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,19,496,487.50,BGU,518,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,4,608,668.90,,613,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,18,552,506.20,,515,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
CONCON,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,8,564,592.40,,573,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
CONCON,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,27/01/2022,28/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,26/01/2022,26/01/2022,2022,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2670)PED.EN QUÍMICA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,27/01/2022,27/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
SAN FELIPE,SAN FELIPE,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,14/01/2022,25/01/2022,2022,,,,,,
QUINTERO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,04/01/2022,25/01/2022,2022,,,,,,
QUILLOTA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,27/01/2022,27/01/2022,2022,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,1,517,571.90,BGU,573,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
LA LIGUA,PETORCA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,10,450,474.10,BGU,520,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,7,467,501.40,,533,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,4,471,526.70,BGU,588,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
